OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
3550,309 1/2 Van Doren St,4.22012E+11,2,2,,309 1/2 Van Doren St,,,House,,1970/01/01 00:00:00+00,,,,,,,703.8946533,126.4611053,
3551,309 W John St,4.32013E+11,2,2,,309 W John St,,,House,,1970/01/01 00:00:00+00,,,,,,,1442.214111,156.9983136,
3552,310 Cottage Ct,4.22012E+11,3,2,,310 Cottage Ct,,,House,,1970/01/01 00:00:00+00,,,,,,,661.6066895,113.3291608,
3553,217 S Neil St,"422012457006, -009 thru -011",51,4,,,217 South,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,18572.09131,754.613477,
3554,314 S Neil St,4.22012E+11,3,2,,314 S Neil St,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,3356.980103,232.385653,
3555,402 W Green St,4.32013E+11,2,2,,402 W Green St,,,House,,1970/01/01 00:00:00+00,,,,,,,1078.203613,150.1083041,
3556,408 S Prairie St,4.32013E+11,7,2,,408 S Prairie St,,,Building,,1970/01/01 00:00:00+00,,,,,,,3914.472412,297.8346264,
3557,4114 W Springfield Ave,4.12009E+11,52,1,,The Villa Assisted Living,,,Building,,1970/01/01 00:00:00+00,,,,,,,55621.37195,1798.626775,
3558,4501 N Market St,1.21424E+11,2,1,,,4501 N Market St,,Complex,,1970/01/01 00:00:00+00,,,,,,,6826.268799,603.8358277,
3560,501 S Prairie St,4.32013E+11,3,2,,501 S Prairie St,,,House,,1970/01/01 00:00:00+00,,,,,,,1702.03894,177.8758385,
3566,502 S Elm St,4.32013E+11,2,2,,502 S Elm St,,,House,,1970/01/01 00:00:00+00,,,,,,,1843.080688,192.5980478,
3573,505 S Second St,4.62118E+11,4,4,,505 S Second St,,,Building,,1970/01/01 00:00:00+00,,,,,,,2694.401367,238.5648654,
3580,507 S Second St,4.62118E+11,,,,507 S Second St,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,14847.30054,678.1161732,
3583,505 W Springfield Ave,4.32013E+11,2,2,,505 W Springfield Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1601.451416,178.0685416,
3585,508 E Washington St,4.62107E+11,2,2,,508 E Washington St,,,House,,1970/01/01 00:00:00+00,,,,,,,3386.312988,304.2851004,
3586,,,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,,,
3587,508 W Columbia Ave,4.22012E+11,3,2,,508 W Columbia Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1647.762085,174.8361679,
3588,509 McKinley Ave,4.12011E+11,2,2,,509 McKinley Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1006.085083,135.4152769,
3589,512 W Clark St,4.22012E+11,2,2,,512 W Clark St,,,House,,1970/01/01 00:00:00+00,,,,,,,1887.048462,187.12179,
3590,601 W Columbia Ave,4.22012E+11,2,2,,601 W Columbia Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1448.175415,164.9689179,
3591,602 W Columbia Ave,,2,2,,602 W Columbia Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,2060.225586,237.4501773,
3592,605 N Walnut St,4.22012E+11,2,2,,605 N Walnut St,,,House,,1970/01/01 00:00:00+00,,,,,,,1273.008423,155.1471397,
3593,606 S Mattis Ave,4.32014E+11,4,2,,606 S Mattis Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,2018.494141,265.0253562,
3595,611 W Bradley Ave,4.22012E+11,2,2,,611 W Bradley Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1166.322388,148.9040017,
3596,618 E Daniel St,4.62118E+11,8,2,,Kam's,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,4541.113037,273.2560049,
3604,619 S Wright St ,4.62118E+11,8,5,,619 S Wright St ,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,2637.347778,210.6916644,
3606,703 S State St,4.32013E+11,2,2,,703 S State St,,,House,,1970/01/01 00:00:00+00,,,,,,,1312.876465,157.3570258,
